GRB,z,Flux (erg cm^-2 s^-1),L (erg s^-1)
050318,1.44,2.20E-07,4.96E+51
050401,2.9,2.45E-06,2.09E+53
050416A,0.6535,,9.89E+50
050525,0.606,,9.00E+51
050603,2.821,3.20E-05,2.25E+54
050802,1.71,2.21E-07,9.34E+51
050904,6.29,1.84E-07,9.25E+52
050922C,2.198,4.50E-06,1.95E+53
051001,2.4296,1.95E-06,1.38E+51
051109A,2.346,5.80E-07,3.40E+52
051111,1.55,3.41E-07,7.04E+51
060115,3.53,,1.04E+52
060124,2.296,2.66E-06,1.37E+53
060206,4.048,2.02E-07,5.29E+52
060210,3.91,,5.64E+52
060306,3.5,4.71E-07,8.85E+52
060428B,0.348,,2.15E+49
060614,0.125,4.50E-06,2.33E+50
060707,3.425,,1.12E+52
060708,1.92,1.78E-07,5.82E+51
060814,0.84,2.13E-06,9.46E+51
060908,1.8836,2.81E-07,1.34E+52
060927,5.47,2.47E-07,1.16E+53
061007,1.261,1.95E-05,1.78E+53
061021,0.3463,3.72E-06,1.76E+51
061121,1.314,1.28E-05,1.48E+53
061222A,2.088,4.80E-06,1.48E+53
070110,2.352,5.17E-06,2.95E+51
070129,2.3384,2.72E-08,1.72E+51
070306,1.497,3.04E-07,1.04E+52
070508,0.82,8.30E-06,2.96E+52
070714B,0.92,,1.22E+52
070810A,2.17,9.92E-08,4.92E+51
071003,1.605,1.22E-05,2.18E+53
071010B,0.947,8.92E-07,6.47E+51
071020,2.145,6.04E-06,2.25E+53
071117,1.331,6.66E-06,9.95E+52
071227,0.383,3.50E-06,2.52E+51
080207,2.0858,,4.22E+51
080319B,0.937,2.26E-05,1.05E+53
080319C,1.95,3.35E-06,9.46E+52
080411,1.03,1.28E-05,9.33E+52
080413A,2.433,,4.41E+52
080413B,1.1,,1.55E+52
080603B,2.69,1.51E-06,1.11E+53
080605,1.6398,1.60E-05,3.33E+53
080607,3.036,2.69E-05,2.21E+54
080721,2.602,2.11E-05,1.11E+54
080804,2.2,7.30E-07,2.86E+52
080810,3.35,1.70E-05,2.39E+54
080913,6.7,1.40E-06,1.24E+53
080916A,0.689,4.87E-07,1.08E+51
081007,0.5295,,4.34E+50
081008,1.9685,3.21E-07,9.48E+51
081028,3.038,7.04E-07,4.91E+52
081118,2.58,6.73E-07,3.99E+52
081121,2.512,5.16E-08,1.38E+53
081203A,2.1,3.71E-07,2.63E+52
081222,2.77,1.76E-06,1.01E+53
090102,1.547,2.93E-06,4.79E+52
090424,0.544,9.12E-06,1.14E+52
090429B,9.4,1.03E-07,1.59E+53
090516,4.109,,8.70E+52
090519,3.85,2.25E-07,3.46E+52
090529,2.625,3.01E-06,1.82E+53
090618,0.54,1.73E-05,1.87E+52
090715B,3,9.00E-07,8.78E+52
090809,2.737,7.23E-06,3.40E+53
090812,2.452,,1.02E+53
090926B,1.24,4.73E-07,4.46E+51
090927,1.37,9.38E-06,9.30E+52
091018,0.971,4.32E-07,4.90E+51
091020,1.71,1.88E-06,3.44E+52
091024,1.092,3.46E-07,4.08E+51
091029,2.752,,1.40E+52
091127,0.49,9.38E-06,7.71E+51
091208B,1.063,2.56E-06,1.81E+52
100425A,1.755,4.74E-08,1.41E+51
100615A,1.398,,1.06E+52
100621A,0.542,1.70E-06,3.24E+51
100728A,1.567,4.20E-06,6.45E+52
100728B,2.106,5.43E-07,1.97E+52
100814A,1.44,7.50E-07,1.08E+52
100816A,0.8049,,7.38E+51
100906A,1.727,2.70E-06,6.90E+52
101213A,0.414,,6.32E+50
101219B,0.55,,3.81E+50
110205A,2.22,5.10E-07,2.65E+52
110213A,1.46,,2.23E+52
110422A,1.77,1.20E-05,2.90E+51
110503A,1.613,1.00E-05,1.89E+53
110715A,0.82,1.10E-05,4.31E+52
110731A,2.83,,3.06E+53
110801A,1.858,8.91E-08,4.43E+51
110808A,1.348,1.10E-04,8.96E+53
110818A,3.36,,7.23E+52
111008A,4.9898,1.40E-06,4.95E+53
111107A,2.893,,1.81E+52
111123A,3.1516,7.89E-08,9.80E+51
111228A,0.714,,6.67E+51
120119A,1.728,,5.98E+52
120326A,1.798,,5.91E+51
120327A,2.813,3.88E-07,3.42E+52
120712A,4.1745,,1.35E+53
120714B,0.3984,1.80E-08,1.15E+49
120724A,1.48,1.95E-08,4.19E+50
120802A,3.9796,1.85E-07,3.51E+52
120811C,2.671,2.47E-07,2.23E+52
120907A,0.97,,2.53E+51
120909A,3.93,,7.65E+52
120922A,3.1,,3.02E+52
121027A,1.77,8.34E-08,2.92E+53
121128A,2.2,,6.67E+52
121211A,1.023,,1.25E+51
130215A,0.597,,2.16E+51
130408A,3.758,5.20E-06,6.12E+53
130420A,1.297,,3.65E+51
130427A,0.3399,,1.90E+53
130505A,2.27,6.90E-05,3.98E+54
130514A,3.6,2.06E-07,3.82E+52
130606A,5.913,3.15E-07,2.04E+53
130610A,2.092,,2.55E+52
130612A,2.006,,9.48E+51
130701A,1.155,4.30E-06,4.27E+52
130831A,0.4791,2.60E-06,3.42E+51
130907A,1.238,2.20E-05,1.82E+53
131030A,1.295,1.00E-05,1.08E+53
